DateTime,Open,High,Low,Close
2006-02-19 16:00:00,1.1934,1.1956,1.1925,1.1955
2006-02-19 20:00:00,1.1956,1.1978,1.1945,1.1975
2006-02-20 00:00:00,1.1974,1.1975,1.1932,1.1938
2006-02-20 04:00:00,1.1937,1.1949,1.1934,1.1937
2006-02-20 08:00:00,1.1938,1.195,1.1934,1.1948
2006-02-20 12:00:00,1.1947,1.1948,1.1938,1.1947
2006-02-20 16:00:00,1.1948,1.1948,1.1923,1.1933
2006-02-20 20:00:00,1.1934,1.1934,1.1915,1.1924
2006-02-21 00:00:00,1.1923,1.1932,1.1907,1.1917
2006-02-21 04:00:00,1.1918,1.1923,1.1903,1.1917
2006-02-21 08:00:00,1.1916,1.1916,1.1892,1.1912
2006-02-21 12:00:00,1.1913,1.1932,1.1909,1.1915
2006-02-21 16:00:00,1.1914,1.1923,1.1908,1.1917
2006-02-21 20:00:00,1.1916,1.1931,1.1909999999999998,1.1921
2006-02-22 00:00:00,1.1922,1.1928,1.1903,1.1907
2006-02-22 04:00:00,1.1908,1.1908,1.1869,1.1886
2006-02-22 08:00:00,1.1887,1.1909,1.1865,1.1905
2006-02-22 12:00:00,1.1906,1.1923,1.1898,1.1907
2006-02-22 16:00:00,1.1906,1.192,1.1903,1.1909
2006-02-22 20:00:00,1.1909999999999998,1.1914,1.1894,1.1912
2006-02-23 00:00:00,1.1911,1.1921,1.1902,1.1909999999999998
2006-02-23 04:00:00,1.1911,1.1971,1.1909,1.1958
2006-02-23 08:00:00,1.1957,1.1967,1.1906,1.1923
2006-02-23 12:00:00,1.1922,1.1935,1.1915,1.1919
2006-02-23 16:00:00,1.1918,1.1937,1.1915,1.1924
2006-02-23 20:00:00,1.1925,1.1931,1.1919,1.1928
2006-02-24 00:00:00,1.1927,1.1931,1.1888,1.1904
2006-02-24 04:00:00,1.1903,1.1912,1.1886,1.1896
2006-02-24 08:00:00,1.1897,1.1918,1.1865,1.1883
2006-02-24 12:00:00,1.1882,1.1886,1.1866,1.1869
2006-02-24 16:00:00,1.1868,1.1877,1.1865,1.1876
2006-02-26 16:00:00,1.1876,1.1876,1.1827,1.1844
2006-02-26 20:00:00,1.1845,1.188,1.1837,1.1875
2006-02-27 00:00:00,1.1876,1.1876,1.1840000000000002,1.1852
2006-02-27 04:00:00,1.1851,1.1865,1.1843,1.1856
2006-02-27 08:00:00,1.1857,1.1869,1.1841,1.186
2006-02-27 12:00:00,1.1859,1.1865,1.1843,1.1848
2006-02-27 16:00:00,1.1847,1.1856,1.1836,1.1839
2006-02-27 20:00:00,1.1840000000000002,1.1865,1.1839,1.1861
2006-02-28 00:00:00,1.186,1.1872,1.1844,1.1867
2006-02-28 04:00:00,1.1868,1.1897,1.1865,1.1878
2006-02-28 08:00:00,1.1879,1.1934,1.1873,1.1926
2006-02-28 12:00:00,1.1925,1.1943,1.1922,1.1923
2006-02-28 16:00:00,1.1924,1.1952,1.1919,1.1939
2006-02-28 20:00:00,1.1938,1.1951,1.1934,1.1944
2006-03-01 00:00:00,1.1945,1.1946,1.1931,1.1942
2006-03-01 04:00:00,1.1941,1.1952,1.1931,1.1943
2006-03-01 08:00:00,1.1944,1.1977,1.1896,1.1899
2006-03-01 12:00:00,1.1898,1.1919,1.1891,1.1916
2006-03-01 16:00:00,1.1915,1.1926,1.1914,1.192
2006-03-01 20:00:00,1.1919,1.1928,1.1916,1.1921
2006-03-02 00:00:00,1.192,1.1943,1.192,1.1938
2006-03-02 04:00:00,1.1939,1.1949,1.1931,1.1934
2006-03-02 08:00:00,1.1933,1.2017,1.192,1.2006
2006-03-02 12:00:00,1.2005,1.2047,1.2005,1.2043
2006-03-02 16:00:00,1.2044,1.2046,1.2021,1.2022
2006-03-02 20:00:00,1.2023,1.203,1.2012,1.203
2006-03-03 00:00:00,1.2029,1.2032,1.2015,1.2018
2006-03-03 04:00:00,1.2017,1.2031,1.2009,1.2026
2006-03-03 08:00:00,1.2025,1.2053,1.1997,1.203
2006-03-03 12:00:00,1.2029,1.2045,1.202,1.2038
2006-03-03 16:00:00,1.2039,1.2044,1.2038,1.2042
2006-03-05 16:00:00,1.2049,1.2094,1.2044,1.2084
2006-03-05 20:00:00,1.2085,1.2086,1.2064,1.2064
2006-03-06 00:00:00,1.2063,1.2083,1.205,1.2051
2006-03-06 04:00:00,1.2052,1.2056,1.2017,1.2027
2006-03-06 08:00:00,1.2026,1.2036,1.1998,1.2004
2006-03-06 12:00:00,1.2003,1.2026,1.1992,1.202
2006-03-06 16:00:00,1.2021,1.2025,1.1987,1.1991
2006-03-06 20:00:00,1.1992,1.2008,1.195,1.1958
2006-03-07 00:00:00,1.1959,1.1975,1.193,1.194
2006-03-07 04:00:00,1.1941,1.1941,1.19,1.1917
2006-03-07 08:00:00,1.1916,1.1917,1.1879,1.1888
2006-03-07 12:00:00,1.1887,1.1895,1.1871,1.188
2006-03-07 16:00:00,1.1879,1.1894,1.1874,1.1877
2006-03-07 20:00:00,1.1878,1.1906,1.1877,1.1898
2006-03-08 00:00:00,1.1897,1.1922,1.1891,1.1907
2006-03-08 04:00:00,1.1908,1.1944,1.1904,1.1918
2006-03-08 08:00:00,1.1917,1.1933,1.19,1.1914
2006-03-08 12:00:00,1.1913,1.1936,1.1913,1.1923
2006-03-08 16:00:00,1.1922,1.1942,1.1921,1.1937
2006-03-08 20:00:00,1.1938,1.195,1.1924,1.195
2006-03-09 00:00:00,1.1951,1.1954,1.1915,1.1927
2006-03-09 04:00:00,1.1928,1.1942,1.1923,1.1926
2006-03-09 08:00:00,1.1927,1.1941,1.1907,1.192
2006-03-09 12:00:00,1.1921,1.1921,1.1906,1.1913
2006-03-09 16:00:00,1.1912,1.1917,1.1892,1.1894
2006-03-09 20:00:00,1.1893,1.1913,1.1891,1.1905
2006-03-10 00:00:00,1.1904,1.1928,1.1901,1.1924
2006-03-10 04:00:00,1.1923,1.1928,1.1917,1.1922
2006-03-10 08:00:00,1.1921,1.1926,1.1861,1.1888
2006-03-10 12:00:00,1.1887,1.1922,1.1887,1.1917
2006-03-10 16:00:00,1.1916,1.1919,1.1916,1.1919
2006-03-12 16:00:00,1.1917,1.1933,1.1913,1.1926
2006-03-12 20:00:00,1.1927,1.1951,1.1924,1.1947
2006-03-13 00:00:00,1.1948,1.1972,1.1932,1.1934
2006-03-13 04:00:00,1.1933,1.1939,1.192,1.1928
2006-03-13 08:00:00,1.1927,1.195,1.1919,1.1943
2006-03-13 12:00:00,1.1944,1.1967,1.193,1.1959
2006-03-13 16:00:00,1.1958,1.1984,1.1957,1.1981
2006-03-13 20:00:00,1.198,1.198,1.1959,1.1975
2006-03-14 00:00:00,1.1974,1.1987,1.1963,1.1977
2006-03-14 04:00:00,1.1976,1.1988,1.1943,1.1952
2006-03-14 08:00:00,1.1951,1.2028,1.1949,1.2026
2006-03-14 12:00:00,1.2027,1.2034,1.2013,1.2017
2006-03-14 16:00:00,1.2016,1.2023,1.2012,1.2021
2006-03-14 20:00:00,1.2022,1.203,1.2008,1.202
2006-03-15 00:00:00,1.2021,1.2047,1.2018,1.2028
2006-03-15 04:00:00,1.2029,1.2041,1.2018,1.2037
2006-03-15 08:00:00,1.2036,1.2065,1.2016,1.2045
2006-03-15 12:00:00,1.2046,1.2075,1.2046,1.2074
2006-03-15 16:00:00,1.2073,1.2076,1.206,1.2062
2006-03-15 20:00:00,1.2061,1.2065,1.2045,1.2051
2006-03-16 00:00:00,1.2052,1.2066,1.2039,1.2063
2006-03-16 04:00:00,1.2062,1.209,1.2061,1.2078
2006-03-16 08:00:00,1.2079,1.2166,1.2068,1.2152
2006-03-16 12:00:00,1.2151,1.219,1.2151,1.2178
2006-03-16 16:00:00,1.2179,1.2185,1.2168,1.2181
2006-03-16 20:00:00,1.218,1.2182,1.2156,1.2173
2006-03-17 00:00:00,1.2172,1.218,1.2153,1.2173
2006-03-17 04:00:00,1.2174,1.2196,1.2165,1.2186
2006-03-17 08:00:00,1.2187,1.22,1.2144,1.2197
2006-03-17 12:00:00,1.2198,1.2208,1.2185,1.2195
2006-03-17 16:00:00,1.2196,1.2196,1.2189,1.219
2006-03-19 16:00:00,1.2184,1.2188,1.2168,1.2179
2006-03-19 20:00:00,1.218,1.2183,1.2168,1.2172
2006-03-20 00:00:00,1.2171,1.2191,1.2158,1.2187
2006-03-20 04:00:00,1.2186,1.2197,1.2168,1.2185
2006-03-20 08:00:00,1.2184,1.2188,1.2157,1.2169
2006-03-20 12:00:00,1.217,1.2173,1.215,1.217
2006-03-20 16:00:00,1.2169,1.2173,1.2133,1.2149
2006-03-20 20:00:00,1.2148,1.2153,1.2125,1.2136
2006-03-21 00:00:00,1.2135,1.2146,1.2123,1.2137
2006-03-21 04:00:00,1.2136,1.2155,1.2123,1.2147
2006-03-21 08:00:00,1.2148,1.2166,1.2079,1.2081
2006-03-21 12:00:00,1.208,1.2104,1.208,1.2087
2006-03-21 16:00:00,1.2086,1.2116,1.2085,1.2097
2006-03-21 20:00:00,1.2096,1.2099,1.2077,1.2093
2006-03-22 00:00:00,1.2094,1.2105,1.2077,1.2083
2006-03-22 04:00:00,1.2082,1.2086,1.2067,1.2076
2006-03-22 08:00:00,1.2077,1.2108,1.2069,1.2096
2006-03-22 12:00:00,1.2095,1.2097,1.2072,1.2077
2006-03-22 16:00:00,1.2076,1.2083,1.2056,1.2061
2006-03-22 20:00:00,1.206,1.2065,1.205,1.2058
2006-03-23 00:00:00,1.2057,1.2079,1.2056,1.2069
2006-03-23 04:00:00,1.207,1.2074,1.2054,1.2062
2006-03-23 08:00:00,1.2061,1.2069,1.1969,1.1985
2006-03-23 12:00:00,1.1984,1.1986,1.1958,1.1974
2006-03-23 16:00:00,1.1973,1.1978,1.1965,1.1972
2006-03-23 20:00:00,1.1973,1.1974,1.1967,1.1969
2006-03-24 00:00:00,1.1968,1.198,1.1961,1.1974
2006-03-24 04:00:00,1.1973,1.1981,1.1958,1.1971
2006-03-24 08:00:00,1.197,1.2042,1.1954,1.2034
2006-03-24 12:00:00,1.2035,1.2047,1.2026,1.2038
2006-03-24 16:00:00,1.2037,1.204,1.2035,1.2037
2006-03-26 16:00:00,1.2041,1.2042,1.2028,1.2033
2006-03-26 20:00:00,1.2032,1.206,1.2018,1.2053
2006-03-27 00:00:00,1.2054,1.2058,1.2035,1.2038
